Video_URL,Video_Title,Comment
https://www.youtube.com/watch?v=ZEGY3w0wUm8,QUÁ ẢO ĐẾN TỪ DÂN MẠNG CAMPUCHIA - PHÁT CUỒNG ĐÒI TẨY CHAY DỰ ÁN XÂY ĐƯỜNG VƯỢT BIỂN CỦA VIỆT NAM,Cứ nghĩ 1 triệu dân mỗi người góp 10kg đá thì con đường này sẽ rất gần. Bọn cam chỉ có khóc thét
https://www.youtube.com/watch?v=ZEGY3w0wUm8,QUÁ ẢO ĐẾN TỪ DÂN MẠNG CAMPUCHIA - PHÁT CUỒNG ĐÒI TẨY CHAY DỰ ÁN XÂY ĐƯỜNG VƯỢT BIỂN CỦA VIỆT NAM,"Hãy xem tôi xúc phạm ông HS nè: HS xấu hoắc, lêu lêu"
https://www.youtube.com/watch?v=ZEGY3w0wUm8,QUÁ ẢO ĐẾN TỪ DÂN MẠNG CAMPUCHIA - PHÁT CUỒNG ĐÒI TẨY CHAY DỰ ÁN XÂY ĐƯỜNG VƯỢT BIỂN CỦA VIỆT NAM,Bọn tiêu chuẩn kép Campuchia. VN ko cần nói nhiều cứ lấy độc mà trị độc
https://www.youtube.com/watch?v=ZEGY3w0wUm8,QUÁ ẢO ĐẾN TỪ DÂN MẠNG CAMPUCHIA - PHÁT CUỒNG ĐÒI TẨY CHAY DỰ ÁN XÂY ĐƯỜNG VƯỢT BIỂN CỦA VIỆT NAM,"Thực ra cái thằng hunsen nó cũng là 1 thằng polpot vì nó sung đột lợi ích với polpot lên nó phản polpot để bám chân Việt Nam ta chứ nó cũng chả tốt đẹp gì đâu , thêm bọn mọi miên thì giờ khổ sở dưới cái chế độ thối nát của thằng hunsen lên giờ cũng quay lại mghe theo bọn tàn quân polpot , sớm hay muộn cái chế độ phản phúc của thằmg hunsen cũng sẽ sập thôi"
https://www.youtube.com/watch?v=ZEGY3w0wUm8,QUÁ ẢO ĐẾN TỪ DÂN MẠNG CAMPUCHIA - PHÁT CUỒNG ĐÒI TẨY CHAY DỰ ÁN XÂY ĐƯỜNG VƯỢT BIỂN CỦA VIỆT NAM,"Xây đường và cầu nối Phú Quốc với đất liền, đất mình cần gì hỏi chúng nó,nó xây kênh mình xây cầu lợi ích Việt Nam trên hết còn ko thì giải phóng cam thêm lần nữa."
https://www.youtube.com/watch?v=ZEGY3w0wUm8,QUÁ ẢO ĐẾN TỪ DÂN MẠNG CAMPUCHIA - PHÁT CUỒNG ĐÒI TẨY CHAY DỰ ÁN XÂY ĐƯỜNG VƯỢT BIỂN CỦA VIỆT NAM,"Chính phủ Việt Nam không bao giờ để nhân dân phải chịu thiệt mà. Làm quả đường vượt biển này như kiểu đấm 1 phát vào cuống họng campuchia, đau mà đếu nói được"
https://www.youtube.com/watch?v=ZEGY3w0wUm8,QUÁ ẢO ĐẾN TỪ DÂN MẠNG CAMPUCHIA - PHÁT CUỒNG ĐÒI TẨY CHAY DỰ ÁN XÂY ĐƯỜNG VƯỢT BIỂN CỦA VIỆT NAM,"Ủa cái nguồn tin đắp đất này đọc ở đâu v ad, s tôi tìm trên báo mãi k có"
https://www.youtube.com/watch?v=ZEGY3w0wUm8,QUÁ ẢO ĐẾN TỪ DÂN MẠNG CAMPUCHIA - PHÁT CUỒNG ĐÒI TẨY CHAY DỰ ÁN XÂY ĐƯỜNG VƯỢT BIỂN CỦA VIỆT NAM,"Hunsen tấu hài giống Trump vậy, lúc nào cũng sống ảo. Mà đưa ra các quyết định cứ như 1 trò đùa thích thì hợp tác thích thì rút lui, điểm khác là Mẽo giàu, chứ Cam nó mà giàu, chắc VN sống éo nổi với nó"
https://www.youtube.com/watch?v=ZEGY3w0wUm8,QUÁ ẢO ĐẾN TỪ DÂN MẠNG CAMPUCHIA - PHÁT CUỒNG ĐÒI TẨY CHAY DỰ ÁN XÂY ĐƯỜNG VƯỢT BIỂN CỦA VIỆT NAM,"Xây cầu sông Tiền sông Hậu Việt Nam còn hỏi cam mà cam trả lời làm Việt Nam cạn lời
Đến cam làm kênh đào phù mỏ Việt Nam ý kiến thì cam nói đất tôi tôi xây tôi làm j thì làm
Việt Nam oke im lặng giờ thì cam nói dc j"
https://www.youtube.com/watch?v=ZEGY3w0wUm8,QUÁ ẢO ĐẾN TỪ DÂN MẠNG CAMPUCHIA - PHÁT CUỒNG ĐÒI TẨY CHAY DỰ ÁN XÂY ĐƯỜNG VƯỢT BIỂN CỦA VIỆT NAM,"Cam vs tàu: cái deoo gì cũng là của tao
:))) 😂"
https://www.youtube.com/watch?v=ZEGY3w0wUm8,QUÁ ẢO ĐẾN TỪ DÂN MẠNG CAMPUCHIA - PHÁT CUỒNG ĐÒI TẨY CHAY DỰ ÁN XÂY ĐƯỜNG VƯỢT BIỂN CỦA VIỆT NAM,Tại sao Vn phải để ý những gì mà tụi vô ơn Campuchia nói mình cứ việc làm lên
https://www.youtube.com/watch?v=ZEGY3w0wUm8,QUÁ ẢO ĐẾN TỪ DÂN MẠNG CAMPUCHIA - PHÁT CUỒNG ĐÒI TẨY CHAY DỰ ÁN XÂY ĐƯỜNG VƯỢT BIỂN CỦA VIỆT NAM,Chừng nào Cam bị Thái đập nữa vậy mọi người ơi. Trông quá.
https://www.youtube.com/watch?v=ZEGY3w0wUm8,QUÁ ẢO ĐẾN TỪ DÂN MẠNG CAMPUCHIA - PHÁT CUỒNG ĐÒI TẨY CHAY DỰ ÁN XÂY ĐƯỜNG VƯỢT BIỂN CỦA VIỆT NAM,Nói thật t rất có cảm tình với người dân khơmer tại Việt Nam nhưng ko thể có thiện cảm với khơmer gốc Cam
https://www.youtube.com/watch?v=ZEGY3w0wUm8,QUÁ ẢO ĐẾN TỪ DÂN MẠNG CAMPUCHIA - PHÁT CUỒNG ĐÒI TẨY CHAY DỰ ÁN XÂY ĐƯỜNG VƯỢT BIỂN CỦA VIỆT NAM,.
https://www.youtube.com/watch?v=ZEGY3w0wUm8,QUÁ ẢO ĐẾN TỪ DÂN MẠNG CAMPUCHIA - PHÁT CUỒNG ĐÒI TẨY CHAY DỰ ÁN XÂY ĐƯỜNG VƯỢT BIỂN CỦA VIỆT NAM,Có gì đâu mà phải nói nhiều. H già già r. Mình cũng hiểu một chút suy nghĩ của các bác bên trên. Mấy cái trò trẻ trâu đối nhời làm gì cho ngu người ra
https://www.youtube.com/watch?v=ZEGY3w0wUm8,QUÁ ẢO ĐẾN TỪ DÂN MẠNG CAMPUCHIA - PHÁT CUỒNG ĐÒI TẨY CHAY DỰ ÁN XÂY ĐƯỜNG VƯỢT BIỂN CỦA VIỆT NAM,Dân đen chấp làm gì?
https://www.youtube.com/watch?v=ZEGY3w0wUm8,QUÁ ẢO ĐẾN TỪ DÂN MẠNG CAMPUCHIA - PHÁT CUỒNG ĐÒI TẨY CHAY DỰ ÁN XÂY ĐƯỜNG VƯỢT BIỂN CỦA VIỆT NAM,Chốt câu cuối quá thấm
https://www.youtube.com/watch?v=ZEGY3w0wUm8,QUÁ ẢO ĐẾN TỪ DÂN MẠNG CAMPUCHIA - PHÁT CUỒNG ĐÒI TẨY CHAY DỰ ÁN XÂY ĐƯỜNG VƯỢT BIỂN CỦA VIỆT NAM,Vn thích 3ngay xóa so 🍊
https://www.youtube.com/watch?v=ZEGY3w0wUm8,QUÁ ẢO ĐẾN TỪ DÂN MẠNG CAMPUCHIA - PHÁT CUỒNG ĐÒI TẨY CHAY DỰ ÁN XÂY ĐƯỜNG VƯỢT BIỂN CỦA VIỆT NAM,Cái thằng lãnh đạo môi thâm mắt trắng lại một mắt thì chơi với nó thì luôn phải cảnh giác. Bài học 2016 nó làm chu tịch  luân phiên khối không ra được tuyên bố chung về biến đông hãy còn nguyên  đó .
https://www.youtube.com/watch?v=ZEGY3w0wUm8,QUÁ ẢO ĐẾN TỪ DÂN MẠNG CAMPUCHIA - PHÁT CUỒNG ĐÒI TẨY CHAY DỰ ÁN XÂY ĐƯỜNG VƯỢT BIỂN CỦA VIỆT NAM,Trách gì bọn Capuchia bội ơn😊😊😊
